date,activeUsers
20240624,21
20240622,19
20240627,19
20240703,18
20240618,17
20240617,16
20240628,16
20240708,15
20240620,14
20240623,14
20240625,13
20240716,13
20240629,12
20240715,12
20240626,10
20240706,10
20240707,10
20240711,10
20240717,10
20240802,10
20240619,9
20240621,9
20240702,9
20240630,8
20240701,8
20240705,7
20240709,7
20240714,7
20240718,7
20240710,6
20240713,5
20240720,5
20240724,5
20240725,5
20240727,5
20240730,5
20240801,5
20240704,4
20240719,4
20240722,4
20240712,3
20240723,3
20240726,3
20240728,3
20240731,3
20240721,2
20240729,2
20240803,2
20240806,2
20240805,1
