date,newUsers,averageSessionDuration,bounceRate,ru_click_viber,ru_click_call,ru_click_facebook,ru_click_mail,ru_click_wa,ru_fill_any_form
2024-06-17,1,215.905657,0.0,,,,,,
2024-06-18,1,2.6205206,0.8,,,,,,
2024-07-04,0,273.549539,0.5,,,,,,
2024-07-17,2,315.980487125,0.5,,1.0,1.0,1.0,1.0,1.0
2024-07-18,3,346.287151,0.5714285714285714,,,,,,
2024-07-23,1,2654.01229,0.5,,,,,,
2024-07-24,1,185.272981,0.3333333333333333,,,,,,
2024-07-25,7,32.188126,0.75,,,,,,
2024-07-26,4,22.454214,0.75,,,,,,
2024-07-29,2,681.5609585,0.0,,,,,,
2024-07-30,1,4.1564575,1.0,,,,,,
2024-07-31,1,530.655601,0.0,,,,,,
2024-08-01,0,607.2463845,0.5,,,,,,
2024-08-02,7,1607.306932125,0.25,,,,,,
2024-08-06,1,4.299227,1.0,,,,,,
2024-08-07,2,0.0,1.0,,,,,,
2024-08-08,0,11.5727085,0.5,,,,,,
2024-08-09,1,28.824211,0.0,,,,,,
2024-08-12,4,717.74899275,0.0,,,,,,
2024-08-13,2,1178.9554486666666,0.0,,,,,,
2024-08-14,5,410.01048000000003,0.4444444444444444,,,,,,
2024-08-15,4,581.824661125,0.25,2.0,,,,,
2024-08-16,0,7.336296,0.0,,,,,,
2024-08-18,1,0.0,1.0,,,,,,
2024-08-19,0,7.919131,1.0,,,,,,
2024-08-20,2,54.3090295,0.0,,,,,,
2024-08-22,0,0.0,1.0,,,,,,
2024-08-23,1,458.688834,0.0,,,,,,
2024-08-25,3,20.811008333333334,0.6666666666666666,,,,,,
2024-09-05,2,476.02259139999995,0.2,,,,,,
2024-09-06,3,0.0,1.0,,,,,,
2024-09-07,1,38.415343,0.0,,,,,,
2024-09-08,1,75.593336,0.0,,,,,,
2024-09-10,2,11.7323735,0.5,,,,,,
2024-09-11,2,210.11386299999998,0.5,,,,,,
2024-09-14,2,0.0,1.0,,,,,,
2024-09-16,1,2.912815,1.0,,,,,,
2024-09-18,2,46.680299999999995,0.0,,,,,,
2024-09-20,0,1316.4355005,0.0,,,,,,
2024-09-23,0,6.461854,0.0,,,,,,
2024-09-25,2,107.162199,0.3333333333333333,,,,,,
2024-09-26,0,0.0,1.0,,,,,,
2024-09-27,0,219.013191,0.0,,,,,,
2024-09-30,3,8.1616395,0.75,,,,,,
2024-10-01,1,21.020103,0.0,,,,,,
2024-10-03,1,839.72204,0.5,,,,,,
2024-10-10,1,1.783589,1.0,,,,,,
2024-10-13,2,134.8059535,0.0,,,,1.0,,
2024-10-15,0,4.784257,1.0,,,,,,
2024-10-17,1,0.0,1.0,,,,,,
2024-10-20,1,45.725614,0.5,,,,,1.0,
2024-10-21,0,0.0,1.0,,,,,,
2024-11-01,1,46.58406,0.0,,,,,,
2024-11-02,2,60.6247635,0.5,,,,,,
2024-11-03,1,74.715444,0.0,,,,,,
2024-11-04,2,486.0343135,0.5,,,,,,
2024-11-06,1,8.9819355,0.5,,,,,,
2024-11-16,1,12.285358,0.0,,,,,,
2024-11-21,1,86.646778,0.0,,,,,,
2024-11-28,1,6.929935,1.0,,,,,,
2024-11-29,1,243.5122,0.0,,,,,,
2024-12-02,1,89.728112,0.0,,,,,,
2024-12-08,1,458.116147,0.0,,,,,,
2024-12-09,1,23.3867655,0.5,,,,,,
2024-12-10,0,285.188207,0.0,,,,,,
2024-12-13,0,460.556348,0.0,,,,,,
2024-12-15,1,11.435199,0.0,,,,,,
2024-12-17,1,29.565819,0.0,,,,,,
2024-12-19,1,20.301271,0.0,,,,,,
2024-12-20,0,12.393554,0.0,,,,,,
2024-12-22,1,0.0,1.0,,,,,,
Last updated,,2025-08-06 03:00:00,,,,,,,
